"";"Otros";"Comercio";"Industria";"Construccion";"Financiero";"Admon Publica";"Agricultura";"Medicina";"Cuarentena";"GastoPublico";"InversionSalud";"Pruebas";"ContactTracing";"PI";"Enforcement";"Tapabocas";"%PoblacionLibre"
"Sector531";0;0;1;1;1;1;1;1;0,1;21,6666666666667;4,86666666666667;8000;0;0,7;0,85;0,7396;0,35883735
"Sector631";0;1;1;1;1;1;1;1;0,1;21,6666666666667;4,86666666666667;8000;0;0,7;0,85;0,7396;0,483999
"Sector731";1;1;1;1;1;1;1;1;0,1;21,6666666666667;4,86666666666667;8000;0;0,7;0,85;0,7396;0,915
"Sector1111";0;0;0;0;0;0;1;1;0,5;21,6666666666667;4,86666666666667;8000;0;0,7;0,85;0,7396;0,18052775
"Sector2111";0;0;0;0;0;1;1;1;0,5;21,6666666666667;4,86666666666667;8000;0;0,7;0,85;0,7396;0,2224455
"Sector3111";0;0;0;0;1;1;1;1;0,5;21,6666666666667;4,86666666666667;8000;0;0,7;0,85;0,7396;0,2277155
"Sector4111";0;0;0;1;1;1;1;1;0,5;21,6666666666667;4,86666666666667;8000;0;0,7;0,85;0,7396;0,24265
"Sector5111";0;0;1;1;1;1;1;1;0,5;21,6666666666667;4,86666666666667;8000;0;0,7;0,85;0,7396;0,26602075
"Sector6111";0;1;1;1;1;1;1;1;0,5;21,6666666666667;4,86666666666667;8000;0;0,7;0,85;0,7396;0,335555
"Sector7111";1;1;1;1;1;1;1;1;0,5;21,6666666666667;4,86666666666667;8000;0;0,7;0,85;0,7396;0,575
"Sector1211";0;0;0;0;0;0;1;1;0,85;21,6666666666667;4,86666666666667;8000;0;0,7;0,85;0,7396;0,159158325
"Sector2211";0;0;0;0;0;1;1;1;0,85;21,6666666666667;4,86666666666667;8000;0;0,7;0,85;0,7396;0,17173365
"Sector3211";0;0;0;0;1;1;1;1;0,85;21,6666666666667;4,86666666666667;8000;0;0,7;0,85;0,7396;0,17331465
"Sector4211";0;0;0;1;1;1;1;1;0,85;21,6666666666667;4,86666666666667;8000;0;0,7;0,85;0,7396;0,177795
"Sector5211";0;0;1;1;1;1;1;1;0,85;21,6666666666667;4,86666666666667;8000;0;0,7;0,85;0,7396;0,184806225
"Sector6211";0;1;1;1;1;1;1;1;0,85;21,6666666666667;4,86666666666667;8000;0;0,7;0,85;0,7396;0,2056665
"Sector7211";1;1;1;1;1;1;1;1;0,85;21,6666666666667;4,86666666666667;8000;0;0,7;0,85;0,7396;0,2775
"Sector141";0;0;0;0;0;0;1;1;0,1;23,3333333333333;5,73333333333333;11000;1;0,8;0,85;0,7396;0,20494995
"Sector241";0;0;0;0;0;1;1;1;0,1;23,3333333333333;5,73333333333333;11000;1;0,8;0,85;0,7396;0,2804019
"Sector341";0;0;0;0;1;1;1;1;0,1;23,3333333333333;5,73333333333333;11000;1;0,8;0,85;0,7396;0,2898879
"Sector441";0;0;0;1;1;1;1;1;0,1;23,3333333333333;5,73333333333333;11000;1;0,8;0,85;0,7396;0,31677
"Sector541";0;0;1;1;1;1;1;1;0,1;23,3333333333333;5,73333333333333;11000;1;0,8;0,85;0,7396;0,35883735
"Sector641";0;1;1;1;1;1;1;1;0,1;23,3333333333333;5,73333333333333;11000;1;0,8;0,85;0,7396;0,483999
"Sector741";1;1;1;1;1;1;1;1;0,1;23,3333333333333;5,73333333333333;11000;1;0,8;0,85;0,7396;0,915
"Sector1121";0;0;0;0;0;0;1;1;0,5;23,3333333333333;5,73333333333333;11000;1;0,8;0,85;0,7396;0,18052775
"Sector2121";0;0;0;0;0;1;1;1;0,5;23,3333333333333;5,73333333333333;11000;1;0,8;0,85;0,7396;0,2224455
"Sector3121";0;0;0;0;1;1;1;1;0,5;23,3333333333333;5,73333333333333;11000;1;0,8;0,85;0,7396;0,2277155
"Sector4121";0;0;0;1;1;1;1;1;0,5;23,3333333333333;5,73333333333333;11000;1;0,8;0,85;0,7396;0,24265
"Sector5121";0;0;1;1;1;1;1;1;0,5;23,3333333333333;5,73333333333333;11000;1;0,8;0,85;0,7396;0,26602075
"Sector6121";0;1;1;1;1;1;1;1;0,5;23,3333333333333;5,73333333333333;11000;1;0,8;0,85;0,7396;0,335555
"Sector7121";1;1;1;1;1;1;1;1;0,5;23,3333333333333;5,73333333333333;11000;1;0,8;0,85;0,7396;0,575
"Sector1221";0;0;0;0;0;0;1;1;0,85;23,3333333333333;5,73333333333333;11000;1;0,8;0,85;0,7396;0,159158325
"Sector2221";0;0;0;0;0;1;1;1;0,85;23,3333333333333;5,73333333333333;11000;1;0,8;0,85;0,7396;0,17173365
"Sector3221";0;0;0;0;1;1;1;1;0,85;23,3333333333333;5,73333333333333;11000;1;0,8;0,85;0,7396;0,17331465
"Sector4221";0;0;0;1;1;1;1;1;0,85;23,3333333333333;5,73333333333333;11000;1;0,8;0,85;0,7396;0,177795
"Sector5221";0;0;1;1;1;1;1;1;0,85;23,3333333333333;5,73333333333333;11000;1;0,8;0,85;0,7396;0,184806225
"Sector6221";0;1;1;1;1;1;1;1;0,85;23,3333333333333;5,73333333333333;11000;1;0,8;0,85;0,7396;0,2056665
"Sector7221";1;1;1;1;1;1;1;1;0,85;23,3333333333333;5,73333333333333;11000;1;0,8;0,85;0,7396;0,2775
"Sector151";0;0;0;0;0;0;1;1;0,1;25;6,6;14000;1;0,9;0,85;0,7396;0,20494995
"Sector251";0;0;0;0;0;1;1;1;0,1;25;6,6;14000;1;0,9;0,85;0,7396;0,2804019
"Sector351";0;0;0;0;1;1;1;1;0,1;25;6,6;14000;1;0,9;0,85;0,7396;0,2898879
"Sector451";0;0;0;1;1;1;1;1;0,1;25;6,6;14000;1;0,9;0,85;0,7396;0,31677
"Sector551";0;0;1;1;1;1;1;1;0,1;25;6,6;14000;1;0,9;0,85;0,7396;0,35883735
"Sector651";0;1;1;1;1;1;1;1;0,1;25;6,6;14000;1;0,9;0,85;0,7396;0,483999
"Sector751";1;1;1;1;1;1;1;1;0,1;25;6,6;14000;1;0,9;0,85;0,7396;0,915
"Sector1131";0;0;0;0;0;0;1;1;0,5;25;6,6;14000;1;0,9;0,85;0,7396;0,18052775
"Sector2131";0;0;0;0;0;1;1;1;0,5;25;6,6;14000;1;0,9;0,85;0,7396;0,2224455
"Sector3131";0;0;0;0;1;1;1;1;0,5;25;6,6;14000;1;0,9;0,85;0,7396;0,2277155
"Sector4131";0;0;0;1;1;1;1;1;0,5;25;6,6;14000;1;0,9;0,85;0,7396;0,24265
"Sector5131";0;0;1;1;1;1;1;1;0,5;25;6,6;14000;1;0,9;0,85;0,7396;0,26602075
"Sector6131";0;1;1;1;1;1;1;1;0,5;25;6,6;14000;1;0,9;0,85;0,7396;0,335555
"Sector7131";1;1;1;1;1;1;1;1;0,5;25;6,6;14000;1;0,9;0,85;0,7396;0,575
"Sector1231";0;0;0;0;0;0;1;1;0,85;25;6,6;14000;1;0,9;0,85;0,7396;0,159158325
"Sector2231";0;0;0;0;0;1;1;1;0,85;25;6,6;14000;1;0,9;0,85;0,7396;0,17173365
"Sector3231";0;0;0;0;1;1;1;1;0,85;25;6,6;14000;1;0,9;0,85;0,7396;0,17331465
"Sector4231";0;0;0;1;1;1;1;1;0,85;25;6,6;14000;1;0,9;0,85;0,7396;0,177795
"Sector5231";0;0;1;1;1;1;1;1;0,85;25;6,6;14000;1;0,9;0,85;0,7396;0,184806225
"Sector6231";0;1;1;1;1;1;1;1;0,85;25;6,6;14000;1;0,9;0,85;0,7396;0,2056665
"Sector7231";1;1;1;1;1;1;1;1;0,85;25;6,6;14000;1;0,9;0,85;0,7396;0,2775
"Sector17";0;0;0;0;0;0;1;1;0,1;20;4;5000;0;0,6;0,7;0,9216;0,3452529
"Sector27";0;0;0;0;0;1;1;1;0,1;20;4;5000;0;0,6;0,7;0,9216;0,4073898
"Sector37";0;0;0;0;1;1;1;1;0,1;20;4;5000;0;0,6;0,7;0,9216;0,4152018
"Sector47";0;0;0;1;1;1;1;1;0,1;20;4;5000;0;0,6;0,7;0,9216;0,43734
"Sector57";0;0;1;1;1;1;1;1;0,1;20;4;5000;0;0,6;0,7;0,9216;0,4719837
"Sector67";0;1;1;1;1;1;1;1;0,1;20;4;5000;0;0,6;0,7;0,9216;0,575058
"Sector77";1;1;1;1;1;1;1;1;0,1;20;4;5000;0;0,6;0,7;0,9216;0,93
"Sector115";0;0;0;0;0;0;1;1;0,5;20;4;5000;0;0,6;0,7;0,9216;0,3251405
"Sector215";0;0;0;0;0;1;1;1;0,5;20;4;5000;0;0,6;0,7;0,9216;0,359661
"Sector315";0;0;0;0;1;1;1;1;0,5;20;4;5000;0;0,6;0,7;0,9216;0,364001
"Sector415";0;0;0;1;1;1;1;1;0,5;20;4;5000;0;0,6;0,7;0,9216;0,3763
"Sector515";0;0;1;1;1;1;1;1;0,5;20;4;5000;0;0,6;0,7;0,9216;0,3955465
"Sector615";0;1;1;1;1;1;1;1;0,5;20;4;5000;0;0,6;0,7;0,9216;0,45281
"Sector715";1;1;1;1;1;1;1;1;0,5;20;4;5000;0;0,6;0,7;0,9216;0,65
"Sector125";0;0;0;0;0;0;1;1;0,85;20;4;5000;0;0,6;0,7;0,9216;0,30754215
"Sector225";0;0;0;0;0;1;1;1;0,85;20;4;5000;0;0,6;0,7;0,9216;0,3178983
"Sector325";0;0;0;0;1;1;1;1;0,85;20;4;5000;0;0,6;0,7;0,9216;0,3192003
"Sector425";0;0;0;1;1;1;1;1;0,85;20;4;5000;0;0,6;0,7;0,9216;0,32289
"Sector525";0;0;1;1;1;1;1;1;0,85;20;4;5000;0;0,6;0,7;0,9216;0,32866395
"Sector625";0;1;1;1;1;1;1;1;0,85;20;4;5000;0;0,6;0,7;0,9216;0,345843
"Sector725";1;1;1;1;1;1;1;1;0,85;20;4;5000;0;0,6;0,7;0,9216;0,405
"Sector132";0;0;0;0;0;0;1;1;0,1;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,9216;0,3452529
"Sector232";0;0;0;0;0;1;1;1;0,1;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,9216;0,4073898
"Sector332";0;0;0;0;1;1;1;1;0,1;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,9216;0,4152018
"Sector432";0;0;0;1;1;1;1;1;0,1;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,9216;0,43734
"Sector532";0;0;1;1;1;1;1;1;0,1;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,9216;0,4719837
"Sector632";0;1;1;1;1;1;1;1;0,1;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,9216;0,575058
"Sector732";1;1;1;1;1;1;1;1;0,1;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,9216;0,93
"Sector1112";0;0;0;0;0;0;1;1;0,5;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,9216;0,3251405
"Sector2112";0;0;0;0;0;1;1;1;0,5;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,9216;0,359661
"Sector3112";0;0;0;0;1;1;1;1;0,5;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,9216;0,364001
"Sector4112";0;0;0;1;1;1;1;1;0,5;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,9216;0,3763
"Sector5112";0;0;1;1;1;1;1;1;0,5;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,9216;0,3955465
"Sector6112";0;1;1;1;1;1;1;1;0,5;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,9216;0,45281
"Sector7112";1;1;1;1;1;1;1;1;0,5;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,9216;0,65
"Sector1212";0;0;0;0;0;0;1;1;0,85;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,9216;0,30754215
"Sector2212";0;0;0;0;0;1;1;1;0,85;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,9216;0,3178983
"Sector3212";0;0;0;0;1;1;1;1;0,85;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,9216;0,3192003
"Sector4212";0;0;0;1;1;1;1;1;0,85;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,9216;0,32289
"Sector5212";0;0;1;1;1;1;1;1;0,85;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,9216;0,32866395
"Sector6212";0;1;1;1;1;1;1;1;0,85;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,9216;0,345843
"Sector7212";1;1;1;1;1;1;1;1;0,85;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,9216;0,405
"Sector142";0;0;0;0;0;0;1;1;0,1;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,9216;0,3452529
"Sector242";0;0;0;0;0;1;1;1;0,1;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,9216;0,4073898
"Sector342";0;0;0;0;1;1;1;1;0,1;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,9216;0,4152018
"Sector442";0;0;0;1;1;1;1;1;0,1;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,9216;0,43734
"Sector542";0;0;1;1;1;1;1;1;0,1;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,9216;0,4719837
"Sector642";0;1;1;1;1;1;1;1;0,1;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,9216;0,575058
"Sector742";1;1;1;1;1;1;1;1;0,1;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,9216;0,93
"Sector1122";0;0;0;0;0;0;1;1;0,5;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,9216;0,3251405
"Sector2122";0;0;0;0;0;1;1;1;0,5;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,9216;0,359661
"Sector3122";0;0;0;0;1;1;1;1;0,5;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,9216;0,364001
"Sector4122";0;0;0;1;1;1;1;1;0,5;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,9216;0,3763
"Sector5122";0;0;1;1;1;1;1;1;0,5;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,9216;0,3955465
"Sector6122";0;1;1;1;1;1;1;1;0,5;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,9216;0,45281
